timeS,t1,t2,t3,t4,t5,t6,t7,t8,t9
1.68E+18,25,0.02237465,-0.057910539,0.034215071,0.001320818,0.115821077,9.65E-05,0.087757689,4.580000401
1.68E+18,24,0.022661949,-0.057650692,0.034505697,0.000483046,0.115301384,0.000102998,0.081328993,4.580000401
1.68E+18,23,0.022661949,-0.057650692,0.034505697,0.000483046,0.115301384,0.000102998,0.071516707,4.580000401
1.68E+18,25,0.022251186,-0.057520683,0.03464842,0.000621076,0.115041366,7.72E-05,0.060413606,4.508000374
1.68E+18,23,0.021814527,-0.056230022,0.034215814,0.000199681,0.112460044,7.72E-05,0.059281688,4.508000374
1.68E+18,23,0.021961643,-0.056094143,0.034364715,-0.000232215,0.112652716,9.01E-05,0.062419425,4.508000374
1.68E+18,22,0.021961643,-0.056094143,0.034364715,-0.000232215,0.112652716,5.13E-05,0.092956862,4.508000374
1.68E+18,25,0.019884916,-0.055436876,0.035088009,0.000463951,0.110873752,5.14E-05,0.098306294,4.680000305
1.68E+18,25,0.019884916,-0.055436876,0.035088009,0.000463951,0.110873752,6.41E-05,0.09513921,4.680000305
1.68E+18,26,0.019884185,-0.055437553,0.035087266,0.000466102,0.110875107,5.77E-05,0.091216722,4.680000305
1.68E+18,26,0.019884185,-0.055437553,0.035087266,0.000466102,0.110875107,0.000109276,0.093139941,4.680000305
1.68E+18,26,0.019884185,-0.055437553,0.035087266,0.000466102,0.110875107,0.000109276,0.07712017,4.664000034
1.68E+18,26,0.019884185,-0.055437553,0.035087266,0.000466102,0.110875107,0.000115631,0.082723879,4.664000034
1.68E+18,26,0.019884185,-0.055437553,0.035087266,0.000466102,0.110875107,0.000122198,0.074417525,4.664000034
1.68E+18,28,0.020170313,-0.056294756,0.03537766,0.000746783,0.112589513,7.72E-05,0.129385721,4.664000034
1.68E+18,28,0.020028154,-0.055868867,0.035233382,0.000607331,0.111737734,0.000102998,0.117734839,4.728000164
1.68E+18,29,0.020028154,-0.055868867,0.035233382,0.000607331,0.111737734,9.66E-05,0.115427679,4.728000164
1.68E+18,27,0.019038097,-0.056271432,0.035941628,0.001291706,0.112542863,9.66E-05,0.126680574,4.728000164
1.68E+18,27,0.019038097,-0.056271432,0.035941628,0.001291706,0.112542863,9.01E-05,0.126680574,4.728000164
1.68E+18,28,0.019038097,-0.056271432,0.035941628,0.001291706,0.112542863,6.42E-05,0.109442382,4.644000053
1.68E+18,28,0.019038097,-0.056271432,0.035941628,0.001291706,0.112542863,3.85E-05,0.130951389,4.644000053
1.68E+18,28,0.019038097,-0.056271432,0.035941628,0.001291706,0.112542863,6.42E-05,0.120610694,4.644000053
